name,RA,Dec,vmag,epoch,epoch_uncertainty,period,period_uncertainty,duration,comments,depth
"HATS-14 b",20:52:51.71,-25:41:14.55,14.1,2458326.12793000,0.00039,2.76675696000,6.6e-07,2.64,,14.9
"HATS-15 b",20:44:22.08,-19:26:15.10,14.9,2456387.21161000,0.00015,1.74748753000,9.4e-07,2.27,,15.1
"HATS-16 b",23:54:14.12,-30:00:46.94,14.0,2459089.51833100,0.00178802,2.68650414921,5.30065e-06,2.55,,12.3
"HATS-17 b",12:48:45.50,-47:36:49.24,12.4,2458390.77872000,0.00067,16.25468800000,1.1e-05,4.83,,5.0
"HATS-18 b",11:35:49.78,-29:09:21.83,14.2,2458217.64374000,0.00016,0.83784340000,1.6e-07,1.94,,21.4
"HATS-1 b",11:42:06.06,-23:21:17.44,12.2,2458711.86936000,0.00019,3.44645630000,7.6e-07,2.42,,16.3
"HATS-22 b",11:36:02.37,-29:32:36.11,13.4,2458278.17664000,0.00017,4.72281727000,8.1e-07,2.19,,22.7
"HATS-23 b",19:05:28.02,-50:04:02.46,13.8,2457580.57342000,0.00041,2.16051070000,1.2e-06,1.80,,19.4
"HATS-24 b",17:55:33.77,-61:44:50.64,12.9,2458912.88473000,0.00013,1.34849689000,2.7e-07,2.41,,18.5
"HATS-25 b",13:51:37.84,-23:46:52.47,13.2,2458426.47971000,0.00021,4.29864716000,8.1e-07,3.20,,15.3
"HATS-26 b",09:39:42.45,-28:35:08.16,13.0,2458518.62026000,0.00056,3.30239350000,2.3e-06,5.22,,8.0
"HATS-27 b",12:54:12.59,-46:35:15.78,12.8,2458309.16373000,0.00039,4.63704960000,2.1e-06,4.83,,7.8
"HATS-28 b",18:57:35.94,-49:08:18.65,14.0,2458659.81043000,0.00065,3.18106970000,2e-06,2.35,,21.2
"HATS-29 b",19:00:23.16,-54:53:36.03,12.6,2457925.49744000,0.00037,4.60587870000,1.7e-06,3.21,,13.8
"HATS-2 b",11:46:57.32,-22:33:46.83,13.6,2458591.08493100,9.6e-05,1.35413379000,8e-08,2.07,,20.0
"HATS-30 b",00:22:28.45,-59:56:33.32,12.3,2458378.82983000,0.00016,3.17435131000,5.9e-07,2.75,,15.5
"HATS-31 b",12:46:48.68,-24:25:38.60,13.3,2458193.09450000,0.001,3.37793440000,2.8e-06,4.59,,7.2
"HATS-32 b",23:04:18.02,-21:16:19.26,14.4,2459109.77173000,0.00088,2.81265350000,3.7e-06,2.85,,14.0
"HATS-33 b",19:38:32.09,-55:19:48.97,11.9,2458654.16323000,0.00014,2.54956330000,6.3e-07,2.68,,14.9
"HATS-34 b",00:03:05.88,-62:28:09.54,13.9,2458241.85896000,0.00034,2.10616098000,8.2e-07,1.56,,12.1
